t,ax,ay,az,gx,gy,gz
6449, -0.33, -0.13, 1.09, -49.63, 85.40, -22.40
6450, -0.82, -0.12, 1.34, -56.63, 47.11, -44.94
6451, -0.93, 0.03, 0.97, -52.36, -13.58, -48.30
6452, -0.71, -0.19, 0.66, -120.26, -88.90, -71.54
6453, -0.23, -0.40, 1.00, -75.04, -101.15, -120.47
6454, 0.06, -0.53, 1.15, -22.75, -22.68, -130.97
6455, 0.03, -0.32, 0.99, 24.71, 22.75, -89.81
6456, -0.12, -0.20, 0.91, 32.76, 2.31, -105.56
6457, -0.08, -0.18, 0.84, -6.65, 9.52, -120.82
6458, -0.03, -0.33, 0.96, -14.98, 25.34, -92.47
6459, 0.02, -0.32, 0.89, 4.27, 52.50, -60.34
6460, -0.01, -0.16, 0.85, 21.84, 48.86, -40.18
6461, -0.01, 0.07, 0.93, 18.48, 30.10, -56.56
6462, -0.02, 0.02, 0.92, -23.38, -14.07, -123.83
6463, 0.12, -0.18, 1.00, -9.31, -6.51, -149.24
6464, 0.19, -0.61, 0.92, -26.81, -3.08, -134.05
6465, -0.01, -0.80, 1.19, 10.57, 63.21, -42.98
6466, -0.20, -0.90, 1.10, 99.75, 55.65, -12.88
6467, -0.40, -0.61, 1.05, 140.49, 48.37, 38.50
6468, -0.34, -0.43, 0.61, 162.47, 98.77, 68.60
6469, -0.24, -0.24, 0.78, 132.37, 60.90, 112.07
6470, -0.34, 0.07, 1.16, 109.27, 21.21, 172.83
6471, -0.37, 0.33, 1.07, 23.03, 28.98, 137.20
6472, -0.31, 0.22, 0.93, -27.93, -20.51, 87.57
6473, -0.14, 0.08, 0.92, -31.85, -44.52, 59.01
6474, -0.00, 0.06, 0.97, -41.30, -21.91, 46.48
6475, -0.03, 0.09, 0.96, -30.31, -19.11, 42.91
6476, -0.05, 0.01, 0.92, -21.00, -46.13, 81.62
6477, -0.00, -0.06, 0.91, -5.81, -54.88, 113.89
6478, -0.05, 0.10, 0.97, 8.89, -11.62, 111.51
6479, -0.18, 0.14, 1.06, -14.63, 31.71, 70.56
6480, -0.31, 0.07, 1.35, -67.41, 79.17, 12.39
6481, -0.70, -0.02, 1.29, -69.16, 66.57, -0.35
6482, -0.75, 0.01, 0.97, -60.55, -38.29, -9.38
6483, -0.50, -0.05, 0.72, -87.50, -99.54, -35.49
6484, -0.35, -0.01, 0.99, -100.10, -93.31, -48.23
6485, -0.02, -0.15, 1.10, -75.67, -77.91, -112.70
6486, 0.07, -0.33, 1.15, -46.48, -28.21, -112.21
6487, 0.04, -0.27, 0.91, -29.12, -26.67, -108.08
6488, 0.10, -0.23, 0.85, -29.19, -13.86, -79.03
6489, 0.12, -0.19, 0.87, -40.25, 18.20, -42.49
6490, 0.04, -0.24, 0.88, -20.37, 34.65, -32.62
6491, -0.08, -0.31, 0.80, 4.90, 25.27, -43.68
6492, -0.20, -0.31, 0.87, 38.15, 17.50, -50.26
6493, -0.08, -0.30, 1.06, 39.27, -8.96, -47.53
6494, 0.03, -0.28, 1.09, 19.25, 37.73, -24.92
6495, -0.06, -0.33, 1.24, -25.27, 87.43, 16.17
6496, -0.18, -0.62, 1.19, 26.88, 53.55, 31.29
6497, -0.29, -0.53, 1.03, 93.52, 23.59, 77.98
6498, -0.34, -0.34, 0.78, 133.98, 57.96, 115.85
6499, -0.20, -0.19, 0.80, 95.20, 68.74, 107.73
6500, -0.22, -0.10, 0.99, 63.42, 57.40, 136.36
6501, -0.30, 0.10, 0.99, 43.33, 41.44, 165.06
6502, -0.35, 0.17, 0.93, 9.66, -1.68, 145.04
6503, -0.22, 0.19, 0.93, -10.15, -35.98, 115.15
6504, -0.13, 0.12, 0.99, -31.99, -23.17, 102.27
6505, -0.18, -0.01, 0.90, -36.96, -20.02, 117.46
6506, -0.22, -0.03, 0.82, -7.21, -37.59, 137.69
6507, -0.19, 0.10, 0.94, -11.48, -46.76, 113.61
6508, -0.19, 0.26, 1.07, -11.20, -5.60, 73.36
6509, -0.22, 0.26, 1.09, -58.10, 41.02, 25.90
6510, -0.31, 0.03, 1.18, -81.97, 90.16, -0.49
6511, -0.63, -0.11, 1.26, -70.42, 49.77, -0.91
6512, -0.62, -0.03, 0.88, -51.66, -38.08, -9.59
6513, -0.61, 0.03, 0.70, -109.27, -91.35, -19.60
6514, -0.30, 0.01, 0.96, -107.17, -70.56, -42.35
6515, -0.12, -0.22, 1.14, -87.64, -76.86, -124.11
6516, -0.11, -0.46, 1.02, -65.45, -48.65, -123.90
6517, -0.04, -0.27, 0.86, -9.59, -39.13, -70.49
6518, 0.08, -0.17, 0.95, -10.64, -23.38, -43.19
6519, 0.12, -0.13, 1.02, -14.70, 0.00, -65.10
6520, 0.06, -0.22, 0.86, -7.35, 11.90, -78.61
6521, -0.10, -0.38, 0.84, 4.83, 3.64, -90.72
6522, -0.11, -0.40, 0.91, 10.15, 25.69, -60.55
6523, -0.04, -0.28, 1.00, 14.00, 38.01, -43.82
6524, 0.02, -0.33, 1.06, -4.90, 44.10, -35.49
6525, -0.08, -0.32, 1.19, -27.72, 82.53, 3.71
6526, -0.30, -0.69, 1.20, 29.75, 55.16, 23.45
6527, -0.32, -0.59, 0.97, 90.37, 11.55, 50.61
6528, -0.35, -0.44, 0.83, 94.92, 33.46, 117.39
6529, -0.18, -0.31, 0.71, 89.95, 35.49, 132.37
6530, -0.15, -0.10, 1.00, 93.24, 35.63, 156.24
6531, -0.25, 0.10, 1.03, 49.77, 22.89, 169.47
6532, -0.30, 0.15, 0.96, 16.10, 4.48, 150.15
6533, -0.20, 0.15, 0.94, -5.60, -37.10, 112.56
6534, -0.12, 0.10, 1.00, -17.08, -36.33, 91.07
6535, -0.14, 0.03, 0.89, -29.89, -24.15, 94.64
6536, -0.18, -0.08, 0.88, 0.42, -36.54, 112.00
6537, -0.17, -0.00, 0.97, 6.58, -37.94, 108.71
6538, -0.19, 0.18, 1.01, -1.47, -7.63, 86.66
6539, -0.17, 0.21, 1.10, -39.27, 28.91, 40.25
6540, -0.21, 0.13, 1.09, -75.04, 75.95, 4.27
6541, -0.44, -0.00, 1.17, -74.69, 90.65, -9.38
6542, -0.71, -0.05, 1.17, -69.86, 10.36, -30.38
6543, -0.54, -0.01, 0.85, -64.19, -68.32, -58.45
6544, -0.38, -0.08, 0.69, -113.05, -122.92, -76.86
6545, -0.17, -0.07, 1.01, -131.32, -99.12, -103.53
6546, -0.05, -0.24, 1.09, -108.85, -59.57, -130.83
6547, 0.06, -0.41, 0.94, -67.76, -50.12, -130.27
6548, 0.07, -0.35, 0.86, -17.43, -39.48, -107.73
6549, 0.07, -0.33, 0.95, -21.35, -24.22, -80.43
6550, 0.05, -0.30, 0.80, -7.70, 5.95, -78.82
6551, -0.12, -0.40, 0.86, 32.55, 2.73, -72.38
6552, -0.05, -0.43, 0.89, 56.14, 12.32, -56.49
6553, 0.07, -0.43, 1.14, 57.96, 50.47, -23.66
6554, 0.06, -0.32, 1.07, 14.14, 94.64, 18.83
6555, -0.11, -0.29, 1.20, -15.54, 101.01, 46.76
6556, -0.23, -0.60, 1.18, 35.07, 38.99, 43.96
6557, -0.39, -0.48, 0.95, 94.15, 5.60, 78.19
6558, -0.32, -0.34, 0.80, 99.89, 23.66, 110.32
6559, -0.15, -0.27, 0.87, 74.27, 23.66, 107.52
6560, -0.13, -0.18, 0.93, 48.02, 38.71, 114.87
6561, -0.20, -0.06, 0.94, 30.38, 37.66, 141.47
6562, -0.20, 0.01, 0.92, 16.38, 2.73, 137.69
6563, -0.11, 0.04, 0.93, -2.31, -23.31, 117.67
6564, -0.08, 0.04, 0.93, -4.48, -9.31, 104.86
6565, -0.16, -0.05, 0.91, 0.77, -5.95, 119.77
6566, -0.20, -0.05, 0.90, 17.50, -19.53, 130.76
6567, -0.28, 0.15, 0.98, 28.00, -11.06, 119.42
6568, -0.17, 0.22, 1.11, 6.51, 31.36, 77.91
6569, -0.23, 0.19, 1.06, -61.88, 96.81, 13.79
6570, -0.50, 0.04, 1.26, -98.14, 129.22, -9.31
6571, -0.86, -0.00, 1.13, -94.50, 9.94, -21.35
6572, -0.68, -0.08, 0.80, -95.41, -79.17, -65.80
6573, -0.47, -0.12, 0.66, -139.79, -119.70, -78.54
6574, -0.17, -0.17, 1.03, -138.74, -101.92, -122.15
6575, -0.04, -0.30, 1.03, -115.43, -87.43, -163.10
6576, 0.14, -0.55, 0.93, -82.39, -57.40, -132.16
6577, 0.12, -0.50, 0.86, -17.57, -44.03, -94.36
6578, 0.12, -0.40, 0.85, 2.52, 0.00, -41.16
6579, 0.05, -0.34, 0.73, 30.94, 20.86, -51.94
6580, -0.09, -0.40, 0.87, 65.10, 12.88, -64.19
6581, -0.04, -0.45, 0.92, 84.28, 30.94, -61.53
6582, -0.06, -0.30, 1.11, 82.11, 68.60, -42.49
6583, 0.01, -0.32, 1.09, 29.96, 105.91, -10.29
6584, -0.24, -0.42, 1.25, 0.91, 112.28, 21.49
6585, -0.30, -0.57, 1.12, 66.57, 39.48, 43.40
6586, -0.51, -0.45, 0.99, 134.33, 2.66, 88.41
6587, -0.32, -0.23, 0.74, 128.87, 36.75, 104.86
6588, -0.15, -0.14, 1.00, 65.66, 55.09, 84.07
6589, -0.20, -0.00, 0.97, 30.10, 66.99, 95.69
6590, -0.25, 0.05, 0.92, 16.66, 39.41, 103.60
6591, -0.22, 0.08, 0.91, -12.39, -0.35, 89.11
6592, -0.17, 0.07, 0.91, -22.75, -15.33, 82.53
6593, -0.18, 0.02, 0.79, -20.09, -8.61, 91.28
6594, -0.26, -0.09, 0.87, 7.56, -33.74, 122.50
6595, -0.30, 0.10, 0.91, -0.35, -54.39, 117.18
6596, -0.25, 0.23, 1.16, -20.93, -40.46, 80.01
6597, -0.26, 0.29, 1.12, -84.28, 19.25, 12.32
6598, -0.43, 0.01, 1.31, -115.01, 83.37, -30.03
6599, -0.68, -0.15, 1.11, -97.44, -0.63, -63.77
6600, -0.61, -0.29, 0.75, -87.85, -109.48, -69.86
6601, -0.46, -0.12, 0.92, -127.12, -124.53, -54.74
6602, -0.19, -0.21, 1.01, -110.18, -46.13, -74.13
6603, -0.08, -0.27, 0.96, -85.05, -28.49, -93.38
6604, -0.01, -0.31, 0.93, -43.54, -23.66, -79.31
6605, 0.07, -0.25, 0.87, -29.19, -17.50, -54.18
6606, 0.08, -0.22, 0.79, -17.71, 5.32, -35.14
6607, -0.06, -0.27, 0.75, 29.89, -1.05, -41.86
6608, -0.11, -0.35, 0.88, 64.75, 9.03, -62.58
6609, -0.10, -0.47, 1.16, 73.08, 36.82, -42.21
6610, 0.00, -0.42, 1.21, 33.18, 92.12, 29.40
6611, -0.26, -0.55, 1.35, 46.97, 103.11, 82.88
6612, -0.35, -0.52, 1.02, 143.78, 43.68, 129.50
6613, -0.50, -0.34, 0.83, 148.75, 29.61, 156.66
6614, -0.24, -0.19, 0.86, 85.61, 79.17, 130.13
6615, -0.29, -0.02, 0.91, 43.61, 108.22, 126.49
6616, -0.37, 0.07, 0.81, 15.26, 78.19, 127.19
6617, -0.36, 0.08, 0.78, -3.78, 15.26, 113.47
6618, -0.28, 0.13, 0.88, -22.40, -32.20, 98.35
6619, -0.21, 0.09, 0.73, -33.74, -33.04, 94.36
6620, -0.27, 0.03, 0.85, -20.93, -71.68, 114.38
6621, -0.28, 0.13, 0.95, 3.50, -81.69, 115.71
6622, -0.36, 0.35, 1.21, -37.59, -32.13, 49.63
6623, -0.31, 0.19, 1.15, -114.38, 35.07, -32.90
6624, -0.67, -0.09, 1.42, -134.68, 27.65, -68.25
6625, -0.75, -0.22, 0.96, -111.58, -93.10, -81.06
6626, -0.56, -0.18, 0.84, -108.85, -91.28, -67.06
6627, -0.30, -0.21, 1.02, -106.61, -41.72, -83.65
6628, -0.14, -0.27, 0.88, -100.52, -18.90, -107.87
6629, -0.07, -0.34, 0.88, -53.90, -25.13, -113.40
6630, 0.05, -0.32, 0.81, -21.49, -22.82, -92.96
6631, 0.08, -0.27, 0.81, -8.47, -1.05, -56.42
6632, 0.05, -0.22, 0.70, 18.13, 20.44, -40.88
6633, -0.16, -0.28, 0.78, 46.06, 5.60, -65.73
6634, -0.14, -0.38, 1.00, 64.12, 4.90, -80.36
6635, -0.03, -0.47, 1.13, 61.25, 55.44, -29.75
6636, -0.10, -0.39, 1.28, 26.46, 108.50, 26.18
6637, -0.29, -0.60, 1.31, 63.77, 95.62, 72.94
6638, -0.47, -0.45, 0.98, 153.16, 40.39, 107.24
6639, -0.46, -0.28, 0.77, 163.66, 48.72, 131.60
6640, -0.26, -0.18, 0.92, 74.90, 88.90, 103.67
6641, -0.36, 0.02, 0.89, 35.21, 99.61, 112.21
6642, -0.41, 0.11, 0.82, 20.02, 61.88, 112.98
6643, -0.35, 0.14, 0.86, -2.03, -5.11, 96.81
6644, -0.23, 0.16, 0.87, -27.79, -29.40, 75.18
6645, -0.22, 0.14, 0.83, -38.71, -29.89, 71.26
6646, -0.26, -0.02, 0.83, -24.71, -54.67, 91.49
6647, -0.32, 0.10, 0.86, -3.64, -69.30, 94.01
6648, -0.31, 0.21, 1.16, -16.66, -46.27, 50.54
6649, -0.30, 0.28, 1.15, -87.43, 24.92, -26.18
6650, -0.57, 0.02, 1.42, -130.06, 66.29, -73.85
6651, -0.74, -0.16, 1.01, -106.40, -36.82, -97.02
6652, -0.62, -0.26, 0.78, -123.41, -132.16, -85.75
6653, -0.27, -0.16, 0.92, -121.87, -78.96, -86.59
6654, -0.20, -0.26, 0.91, -124.81, -44.66, -119.91
6655, -0.08, -0.37, 0.86, -82.53, -40.81, -134.19
6656, 0.01, -0.38, 0.84, -29.05, -38.71, -118.16
6657, 0.09, -0.33, 0.85, 3.01, -19.88, -83.58
6658, 0.07, -0.25, 0.80, 9.17, 11.20, -57.40
6659, -0.06, -0.26, 0.67, 22.26, 7.63, -70.91
6660, -0.11, -0.38, 0.81, 44.94, -10.43, -91.98
6661, 0.01, -0.51, 1.17, 59.36, 12.88, -69.51
6662, 0.15, -0.51, 1.13, 29.96, 79.38, 1.12
6663, -0.12, -0.54, 1.34, 27.58, 117.53, 38.71
6664, -0.27, -0.64, 1.20, 121.24, 65.66, 76.86
6665, -0.51, -0.44, 0.93, 143.71, 26.11, 112.28
6666, -0.26, -0.32, 0.77, 133.35, 66.50, 114.24
6667, -0.24, -0.16, 0.92, 69.86, 84.63, 100.10
6668, -0.32, -0.00, 0.85, 46.06, 90.23, 109.90
6669, -0.35, 0.06, 0.83, 24.71, 52.92, 106.33
6670, -0.28, 0.12, 0.85, 4.41, -2.52, 92.26
6671, -0.20, 0.16, 0.91, -15.75, -17.85, 80.29
6672, -0.21, 0.12, 0.83, -19.46, -16.52, 80.36
6673, -0.28, -0.03, 0.86, -5.32, -44.24, 102.06
6674, -0.33, 0.09, 0.88, -0.42, -48.30, 95.90
6675, -0.34, 0.17, 1.15, -26.67, -26.74, 47.60
6676, -0.28, 0.14, 1.08, -89.18, 23.52, -33.18
6677, -0.49, -0.01, 1.29, -99.68, 84.84, -38.85
6678, -0.79, -0.08, 1.12, -90.37, 5.53, -61.39
6679, -0.65, -0.24, 0.86, -84.49, -94.71, -83.09
6680, -0.46, -0.12, 0.79, -89.53, -93.73, -87.43
6681, -0.32, -0.20, 0.98, -98.49, -63.28, -108.57
6682, -0.16, -0.28, 0.91, -80.57, -44.52, -127.19
6683, -0.08, -0.36, 0.89, -37.45, -36.19, -117.88
6684, 0.01, -0.30, 0.88, -5.60, -35.28, -96.32
6685, 0.07, -0.22, 0.94, 2.52, -12.25, -66.01
6686, 0.08, -0.21, 0.87, -2.73, 15.54, -58.24
6687, -0.08, -0.19, 0.75, 6.37, 7.14, -72.24
6688, -0.20, -0.33, 0.89, 13.72, -4.27, -88.48
6689, -0.06, -0.43, 1.07, 23.73, 0.84, -77.42
6690, 0.07, -0.50, 1.10, 20.51, 56.35, -44.24
6691, -0.06, -0.51, 1.27, -0.14, 104.16, 3.92
6692, -0.25, -0.68, 1.16, 79.17, 82.60, 34.86
6693, -0.50, -0.54, 1.01, 138.11, 27.23, 78.96
6694, -0.43, -0.26, 0.80, 143.01, 39.76, 99.89
